rcept_no,corp_code,statement,basis,classification,note
20060515000886,00471068,IS,separate,M2,
20060515001055,00149804,CF,separate,M2,
20060515001129,00129642,CF,separate,M2,
20060515001216,00122694,CF,separate,M2,
20060515001239,00113207,IS,consolidated,M2,
20060515001314,00138701,BS,separate,M2,
20060515001455,00255105,CF,separate,M2,
20060515001660,00230814,CF,separate,M2,
20060515001898,00133511,APPR,separate,M2,
20060515001911,00231691,IS,separate,M2,
20060515001990,00120030,CF,separate,M2,
20060515002153,00222435,CF,separate,M2,
20060515002614,00140168,APPR,separate,M2,
20060515002640,00101628,IS,separate,M2,
20060515003331,00106623,CF,separate,M2,
20060810000421,00149804,CF,separate,M2,
20060810000426,00149804,IS,separate,M2,
20060811000230,00488989,BS,separate,M2,
20060811000294,00161462,BS,separate,M2,
20060811000294,00161462,IS,separate,M2,
20060811000463,00205003,CF,separate,M2,
20060811000514,00159795,IS,separate,M2,
20060811000638,00210740,CF,separate,M2,
20060811000727,00406037,CF,separate,M2,
20060811000727,00406037,IS,separate,M2,
20060811000755,00154462,IS,consolidated,M2,
20060811000779,00231691,IS,separate,M2,
20060814000039,00133618,CF,separate,M2,
20060814000045,00230814,CF,separate,M2,
20060814000080,00264945,CF,separate,M2,
20060814000114,00113261,BS,separate,M2,
20060814000118,00108940,IS,separate,M3,손 익 계 산 서제 24 기 반기 (2006.01.01 부터 2006.06.30 까지)제 23 기 반기 (2005.01.01 부터 2005.06
20060814000233,00139153,IS,consolidated,M2,
20060814000269,00230425,APPR,separate,M2,
20060814000337,00152589,BS,separate,M2,
20060814000349,00351630,CF,separate,M2,
20060814000349,00351630,IS,separate,M2,
20060814000384,00110884,CF,separate,M2,
20060814000398,00115931,CF,separate,M2,
20060814000401,00120030,CF,separate,M2,
20060814000553,00210856,IS,separate,M2,
20060814000680,00267942,BS,separate,M2,
20060814000862,00133511,APPR,separate,M2,
20060814000944,00118008,BS,consolidated,M2,
20060814001030,00160843,BS,consolidated,M2,
20060814001087,00124799,APPR,separate,M2,
20060814001160,00303794,CF,separate,M2,
20060814001168,00220109,CF,separate,M2,
20060814001202,00158316,IS,separate,M2,
20060814001346,00156859,APPR,separate,M2,
20060814001419,00140566,CF,separate,M2,
20060814001678,00103130,APPR,separate,M2,
20060816000020,00292434,BS,separate,M2,
20060816000065,00488989,BS,separate,M2,
20060821000115,00118008,BS,consolidated,M2,
20060823000161,00161462,BS,separate,M2,
20060823000161,00161462,IS,separate,M2,
20060904000092,00264945,CF,separate,M2,
20060904000121,00264945,CF,separate,M2,
20060904000153,00161462,IS,separate,M2,
20060904000159,00161462,IS,separate,M2,
20060904000166,00161462,IS,separate,M2,
20060911000047,00159795,IS,separate,M2,
20060914000087,00351630,CF,separate,M2,
20060914000087,00351630,IS,separate,M2,
20060915000047,00230814,CF,separate,M2,
20061110000239,00390365,BS,separate,M2,
20061113000195,00151298,IS,separate,M2,
20061114000021,00108940,IS,separate,M2,
20061114000036,00138303,APPR,separate,M2,
20061114000036,00138303,BS,separate,M2,
20061114000036,00138303,CF,separate,M2,
20061114000036,00138303,IS,separate,M2,
20061114000051,00113261,BS,separate,M2,
20061114000085,00249982,CF,separate,M2,
20061114000112,00115931,CF,separate,M2,
20061114000285,00138598,CF,separate,M2,
20061114000610,00303794,CF,separate,M2,
20061114000651,00133511,APPR,separate,M2,
20061114000692,00258421,BS,consolidated,M2,
20061114000692,00258421,IS,consolidated,M2,
20061114000757,00122472,BS,separate,M2,
20061114001078,00231691,IS,separate,M2,
20061114001201,00140566,CF,separate,M2,
20061114001222,00120030,CF,separate,M2,
20061114001345,00160843,BS,consolidated,M2,
20061114001748,00104856,BS,consolidated,M2,
20061114001801,00302926,IS,separate,M2,
20061114001812,00126308,APPR,separate,M2,
20061114001823,00103130,APPR,separate,M2,
20061114001921,00133706,APPR,separate,M2,
20061114001921,00133706,BS,separate,M2,
20061114001943,00122472,BS,separate,M2,
20061114001964,00292434,CF,separate,M2,
20070214000032,00109718,IS,separate,M2,
20070214000237,00104856,BS,consolidated,M2,
20070329000690,00131197,SCE,consolidated,M3,연 결 손 익 계 산 서제 19 기 (2006. 01. 01 부터 2006. 12. 31 까지)제 18 기 (2005. 01. 01 부터 200
20070329001183,00508274,IS,consolidated,M2,
20070329001231,00249982,CF,separate,M2,
20070330000651,00155692,APPR,separate,M2,
20070330001121,00106623,APPR,separate,M2,
20070330001121,00106623,BS,separate,M2,
20070330001121,00106623,CF,separate,M3,현 금 흐 름 표제 31 기 (2006. 01. 01 부터 2006. 12. 31 까지)제 30 기 (2005. 01. 01. 부터 2005. 
20070330001121,00106623,IS,separate,M2,
20070330001123,00159254,APPR,separate,M3,제 39 기 (2006. 01. 01 부터 2006. 12. 31 까지)제 38 기 (2005. 01. 01 부터 2005. 12. 31 까지)
20070330001248,00363592,APPR,separate,M2,
20070330001248,00363592,CF,separate,M2,
20070330001248,00363592,IS,separate,M2,
20070330001561,00159254,APPR,separate,M3,제 39 기 (2006. 01. 01 부터 2006. 12. 31 까지)제 38 기 (2005. 01. 01 부터 2005. 12. 31 까지)
20070330002254,00150633,CF,separate,M2,
20070514001225,00159795,SCE,separate,M2,
20070514002235,00161046,CF,separate,M2,
20070514002235,00161046,IS,separate,M2,
20070514002755,00161462,SCE,separate,M2,
20070514003293,00113128,CF,separate,M2,
20070514003910,00112970,SCE,separate,M2,
20070515000224,00244455,CF,separate,M2,
20070515000252,00264547,SCE,separate,M2,
20070515000268,00373021,IS,separate,M2,
20070515000392,00128315,SCE,separate,M2,
20070515000411,00249982,IS,consolidated,M2,
20070515000411,00249982,IS,separate,M2,
20070515000515,00150633,APPR,separate,M2,
20070515000515,00150633,BS,separate,M2,
20070515000595,00369569,CF,separate,M2,
20070515000735,00205003,CF,separate,M2,
20070515000746,00292434,BS,separate,M2,
20070515000903,00108746,BS,consolidated,M2,
20070515000931,00308559,CF,separate,M2,
20070515001065,00155692,APPR,separate,M2,
20070515001065,00155692,BS,separate,M2,
20070515001065,00155692,CF,separate,M2,
20070515001191,00110884,CF,separate,M2,
20070515001217,00150633,APPR,separate,M2,
20070515001217,00150633,BS,separate,M2,
20070515001330,00137207,CF,separate,M2,
20070515001332,00136271,CF,separate,M2,
20070515001390,00328191,CF,separate,M2,
20070515001612,00132868,CF,separate,M2,
